"imdbID","Title","Year","BoxOffice"
"tt2488496","Star Wars: Episode VII - The Force Awakens",2015,930800000
"tt0499549","Avatar",2009,760500000
"tt0369610","Jurassic World",2015,652200000
"tt0848228","The Avengers",2012,623300000
"tt0468569","The Dark Knight",2008,533300000
"tt2395427","Avengers: Age of Ultron",2015,4.59e+08
"tt1345836","The Dark Knight Rises",2012,448100000
"tt0298148","Shrek 2",2004,436500000
"tt1951264","The Hunger Games: Catching Fire",2013,424600000
"tt0383574","Pirates of the Caribbean: Dead Man's Chest",2006,4.23e+08
"tt0435761","Toy Story 3",2010,4.15e+08
"tt1300854","Iron Man 3",2013,4.09e+08
"tt1392170","The Hunger Games",2012,4.08e+08
"tt0145487","Spider-Man",2002,403700000
"tt1055369","Transformers: Revenge of the Fallen",2009,402100000
"tt2294629","Frozen",2013,400700000
"tt1201607","Harry Potter and the Deathly Hallows: Part 2",2011,3.81e+08
"tt0316654","Spider-Man 2",2004,373400000
"tt0335345","The Passion of the Christ",2004,370200000
"tt1690953","Despicable Me 2",2013,3.68e+08
"tt0167260","The Lord of the Rings: The Return of the King",2003,3.64e+08
"tt2096673","Inside Out",2015,356500000
"tt1399103","Transformers: Dark of the Moon",2011,352400000
"tt0167261","The Lord of the Rings: The Two Towers",2002,339700000
"tt1951265","The Hunger Games: Mockingjay - Part 1",2014,337100000
"tt0413300","Spider-Man 3",2007,336500000
"tt2293640","Minions",2015,3.36e+08
"tt2015381","Guardians of the Galaxy",2014,333200000
"tt0413267","Shrek the Third",2007,320700000
"tt1014759","Alice in Wonderland",2010,319300000
"tt0371746","Iron Man",2008,318300000
"tt0241527","Harry Potter and the Sorcerer's Stone",2001,317600000
"tt0367882","Indiana Jones and the Kingdom of the Crystal Skull",2008,3.17e+08
"tt0120737","The Lord of the Rings: The Fellowship of the Ring",2001,313800000
"tt1228705","Iron Man 2",2010,312100000
"tt0449088","Pirates of the Caribbean: At World's End",2007,309400000
"tt0121765","Star Wars: Episode II - Attack of the Clones",2002,307900000
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl",2003,305300000
"tt0903624","The Hobbit: An Unexpected Journey",2012,3.03e+08
"tt0417741","Harry Potter and the Half-Blood Prince",2009,301900000
"tt1325004","The Twilight Saga: Eclipse",2010,300500000
"tt1074638","Skyfall",2012,299300000
"tt1259571","The Twilight Saga: New Moon",2009,296600000
