"imdbID","Title","Year","AdjBoxOffice"
"tt0213065","The Lorax",1972,1200678740.28304
"tt2488496","Star Wars: Episode VII - The Force Awakens",2015,934381231.122154
"tt0499549","Avatar",2009,843234239.40568
"tt0369610","Jurassic World",2015,654709324.170465
"tt0848228","The Avengers",2012,645861503.740623
"tt0468569","The Dark Knight",2008,589422987.467146
"tt0298148","Shrek 2",2004,549718499.272134
"tt0145487","Spider-Man",2002,533968064.677539
"tt0383574","Pirates of the Caribbean: Dead Man's Chest",2006,499283057.840989
"tt0167260","The Lord of the Rings: The Return of the King",2003,470642108.695652
"tt0316654","Spider-Man 2",2004,470251747.143676
"tt0335345","The Passion of the Christ",2004,466221737.527019
"tt1345836","The Dark Knight Rises",2012,464319813.61491
"tt2395427","Avengers: Age of Ultron",2015,460765991.711505
"tt0435761","Toy Story 3",2010,452738171.754975
"tt0167261","The Lord of the Rings: The Two Towers",2002,449316204.04003
"tt1055369","Transformers: Revenge of the Fallen",2009,445844165.240005
"tt1951264","The Hunger Games: Catching Fire",2013,433609883.375907
"tt0241527","Harry Potter and the Sorcerer's Stone",2001,426788024.664627
"tt1392170","The Hunger Games",2012,422768319.470839
"tt0120737","The Lord of the Rings: The Fellowship of the Ring",2001,421681618.82796
"tt1300854","Iron Man 3",2013,417678856.101615
"tt2294629","Frozen",2013,409202732.615935
"tt0121765","Star Wars: Episode II - Attack of the Clones",2002,407254810.785767
"tt1201607","Harry Potter and the Deathly Hallows: Part 2",2011,402993766.755734
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl",2003,394744603.804348
"tt0413300","Spider-Man 3",2007,386100592.010868
"tt1690953","Despicable Me 2",2013,375808848.521747
"tt1399103","Transformers: Dark of the Moon",2011,372742791.088506
"tt0413267","Shrek the Third",2007,367971648.90902
"tt0234215","The Matrix Reloaded",2003,363971850.543478
"tt0126029","Shrek",2001,358792199.576371
"tt2096673","Inside Out",2015,357871625.3707
"tt0170016","How the Grinch Stole Christmas",2000,357844918.937231
"tt0363771","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,355398456.299078
"tt0449088","Pirates of the Caribbean: At World's End",2007,355006012.386813
